30,case3,lake,move west,GOAL,-1.900000
31,case3,START,N,entrance,0.000000
31,case3,entrance,move west,lake,0.003754
31,case3,lake,move west,GOAL,-2.710000
32,case2,START,N,entrance,0.000000
32,case2,entrance,move west,forest,6.723952
32,case2,forest,move west,GOAL,4.432194
33,case2,START,N,entrance,0.000000
33,case2,entrance,move west,forest,7.266261
33,case2,forest,move east,GOAL,8.990696
34,case1,START,N,entrance,0.000000
34,case1,entrance,move west,lake,0.139895
34,case1,lake,move east,entrance,0.021207
34,case1,entrance,move west,lake,0.127814
34,case1,lake,move west,GOAL,-2.710000
35,case2,START,N,entrance,0.000000
35,case2,entrance,move west,lake,7.456621
35,case2,lake,move west,GOAL,0.000000
36,case1,START,N,entrance,0.000000
36,case1,entrance,move west,lake,0.116941
36,case1,lake,move west,GOAL,-3.439000
37,case2,START,N,entrance,0.000000
37,case2,entrance,move west,lake,7.637463
37,case2,lake,move east,entrance,2.760830
37,case2,entrance,move west,lake,7.879827
37,case2,lake,move west,GOAL,0.000000
38,case4,START,N,entrance,0.000000
38,case4,entrance,move east,lake,0.011241
38,case4,lake,move west,GOAL,-1.098100
39,case4,START,N,entrance,0.000000
39,case4,entrance,move east,forest,0.070815
39,case4,forest,move west,GOAL,1.057419
40,case2,START,N,entrance,0.000000
40,case2,entrance,move west,lake,8.110073
40,case2,lake,move west,GOAL,0.000000
41,case2,START,N,entrance,0.000000
41,case2,entrance,move east,forest,5.266483
41,case2,forest,move east,GOAL,9.541161
42,case1,START,N,entrance,0.000000
42,case1,entrance,move east,forest,0.383066
42,case1,forest,move west,entrance,0.041766
42,case1,entrance,move west,lake,0.112049
42,case1,lake,move west,entrance,-3.060624
42,case1,entrance,move east,forest,0.485863
42,case1,forest,move east,GOAL,3.439000
43,case4,START,N,entrance,0.000000
43,case4,entrance,move west,lake,-0.411273
43,case4,lake,move west,entrance,-1.098100
43,case4,entrance,move east,forest,0.127410
43,case4,forest,move east,GOAL,2.825088
44,case4,START,N,entrance,0.000000
44,case4,entrance,move east,forest,0.198168
44,case4,forest,move west,GOAL,1.504548
45,case3,START,N,entrance,0.000000
45,case3,entrance,move west,lake,0.004763
45,case3,lake,move east,entrance,0.029241
45,case3,entrance,move east,forest,0.324900
45,case3,forest,move west,entrance,0.036531
45,case3,entrance,move east,forest,0.463410
45,case3,forest,move east,GOAL,2.710000
46,case1,START,N,entrance,0.000000
46,case1,entrance,move west,lake,0.107400
46,case1,lake,move west,GOAL,-3.754562
47,case1,START,N,entrance,0.000000
47,case1,entrance,move west,lake,0.102985
47,case1,lake,move east,entrance,0.062814
47,case1,entrance,move west,lake,0.100662
47,case1,lake,move east,entrance,0.081537
47,case1,entrance,move west,lake,0.100662
47,case1,lake,move west,GOAL,-4.066834
48,case4,START,N,entrance,0.000000
